Block: 11
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentCode DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
48 11 2024-03-28T12:25:27.664Z 2024-03-28T12:25:26.094Z 789490f5a2c62c1ed4ff76d3e03626afe56aa82dcd6e0908172986c9206a6a60 c34bbadb0085419b169e9c5566c2a442afb4214408bf1386e7929b0934e5f4e1 00e44079813e189957cba7e64aaaffe80b2d08b08aa4cc886f828f0f50e42ea2 463dcd47e142e8d7171c0bddbf7c1d02862f8abb2090b762dcecb260fc873293 463dcd47e142e8d7171c0bddbf7c1d02862f8abb2090b762dcecb260fc873293 CRE NEG 1 02e516cc4af6a79b4d014e084b4e32b6922d9245d4ede592f773396e682fad0b3b 032abb3d7997e95b03393bdb3ee3c4c0d6ab851b01a7fc54d6fe686f134a4a05a7 4A/7USVcxpOJt4fboOQKtWB8EoyhmxXEHNk1D6JHP1CPdffFXLeofAT9FL1Y3ZaLTpw6lrvL6C1LlT/V0g13gQ== 463dcd47e142e8d7171c0bddbf7c1d02862f8abb2090b762dcecb260fc873293 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Avx91ZhFy7Uzt53NYkzX/8JAKI3GPbpMbdOoD6f7+J5kMcAAdPVGz1V0tP050pScM0/xnDGX2KSmWMGhxN2Kbg== 8YSGsnOOfFHhF5dkSyqc9Pzr4tdSx87kHbnC+PX5cr5oxqmRA/qXwjjvZs/xx8E1VNyJkRQbP9iUehBlMUkvEg==
49 11 2024-03-28T12:25:29.565Z 2024-03-28T12:25:29.354Z 833a2d402e02044c8388d43146ac6d339702e0b006c0dbcd3e3b276f571343f7 833a2d402e02044c8388d43146ac6d339702e0b006c0dbcd3e3b276f571343f7 833a2d402e02044c8388d43146ac6d339702e0b006c0dbcd3e3b276f571343f7 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 10 0318f9b963a97bd78bdc272fd2ae20872acaa22317dd29cca5a1598848cb97ad0d 03888001833bfbb5789c92e7a57a6696c8e0dd475ac286fa7950d0a2052d44c9dc S93SW5jyM93huZjKPhc4Q12EZW9JBpyPVTcgnVrR42A6JajPcRdkIyR9YxUCKnE2SfRTnrxTOoCCRZqgbcwDlQ== 833a2d402e02044c8388d43146ac6d339702e0b006c0dbcd3e3b276f571343f7 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 FgrJCp1mLoC45HU6P0/Et/SfQN14mZlGG5qWdVKBJfPLNmM1LDC4fOwFXsmUnHqoAGMLNaXza28jOrmaH/GadA== FRolAgexPmDc9+4DiTgUxR/Mk5nKjji/dHY6Ad6fqrjbopTFQvdC5pAyIWfkPguC34ouTyPpdX/X1xsMKE7ruw==
50 11 2024-03-28T12:25:34.642Z 2024-03-28T12:25:33.236Z a5f799838c07793f0482c827b67c76ac13c69a46acd15d7c0b8636e4f9b807d6 4a5682d7246626041261cf665b1ad45a76cb28c5c0b7e4797c2ad0b6110e2004 00e44079813e189957cba7e64aaaffe80b2d08b08aa4cc886f828f0f50e42ea2 06eea17ba9222f9c0e6303c3d0267483be238e53e7dd885699af84af6c633c7b 06eea17ba9222f9c0e6303c3d0267483be238e53e7dd885699af84af6c633c7b CRE NEG 1 036623895da331ada67443171a56838b27b9c989dc6b3ca5dc3b053e6211102c19 02fe91978afb5da0904e1538c56589f8c65709107c8256052e62de3dfa8796319d jXv0UZ7fDMwIsvFyfQfvAirMYlWplJM1mZmCXbWduq8u5FYxAOgsl8h4d2BB3Cy49CaHJOGqt0t8ST8nzD9WPA== 06eea17ba9222f9c0e6303c3d0267483be238e53e7dd885699af84af6c633c7b 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 g12sm4kzmxDg0qU//nd+NYYJeAtyPiIVYloHt39+Yh1aOrUi5iB9KC2vZcabXo54spogY7MScCcewWgfHw708g== VOy2mGFZNNyw8auzlmcDWwx5hNZ/I4p+kfKM9+SKS1iD7MhlhiYbfShjJLzJLlUx519EOgjpgmIVjvrpCL0/ZQ==
51 11 2024-03-28T12:25:41.705Z 2024-03-28T12:25:40.330Z 02ed9c71ce9e8fc1c549bb2607f41e28b3356a69ebd0a0ff174695a566e70439 28e829a299e1abfef5ff8d0e4bc4aaf86e7962a9347eed232ae32431a8e68639 00e44079813e189957cba7e64aaaffe80b2d08b08aa4cc886f828f0f50e42ea2 cd525e97da079cd0987bd7fbed1d878048ca807495e2897532fed359f4fc9991 cd525e97da079cd0987bd7fbed1d878048ca807495e2897532fed359f4fc9991 CRE NEG 1 02cbdf313feecf8a718fc2e0ab49b51226a09cce3ecc602023104178fbb4432081 021704e8643ce1477cfa987909c3d2005b024c176b43733466eccf0ae9f9bd95d9 djxc3OJc+mIIzfpkzDkVUqxz4H1DqbJH+Cz26QeyyjStrqjkg8S5eoGq5EyF961CV20vxlAQncwZdvUuf+HRkg== cd525e97da079cd0987bd7fbed1d878048ca807495e2897532fed359f4fc9991 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 yLTHsZ+0VwNHg0c/0Bi3bMQDu5MQH252NpRIopGJPBOCrxCuFcSQph0Cb1h+geJBYfHZDZ2HP0uBgywss5zFYA== advU9KY+fihGEc1pJOHWCkMt5GmYVGmdGjMWzE9H5Yo8deSpfWIs6KIZGpItgx1vJ39vi7ZvOpUYXFnOYFb72w==
52 11 2024-03-28T12:25:47.565Z 2024-03-28T12:25:46.161Z af25060fa47e1e99d5dd52eb2e61918697cd2851f0a158817e0420b9376b0103 f7341cc2f7d2fa147abffbad4e9fc542cf946bbdd19132ec13dd74e36205916f 00e44079813e189957cba7e64aaaffe80b2d08b08aa4cc886f828f0f50e42ea2 387b43977bdec65a8b776e88412e2b0073b1bef1cf9452a270b1abf6f0590067 387b43977bdec65a8b776e88412e2b0073b1bef1cf9452a270b1abf6f0590067 CRE NEG 1 036cf2c29ac1c6ff4c8175ecfb925e6024c3fcae2e3ed6549400f8f3646b7015be 02e193ff4aee7c23a614cf43961f2bb272e8322582af5cd1203a12b6067cb0e996 Rl0ykY4h4YakcDAMdTc8G0IT8k3urtXuh0a4hVI0wWnWh1o/Sewi8MIuQJK42SZTLDrboWWMMl46LvkE93J5vg== 387b43977bdec65a8b776e88412e2b0073b1bef1cf9452a270b1abf6f0590067 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 f4ht4Os0Off48LkYGfGT0LhIC7ooph2xlm1ZhrvlCdVbxkGjfhTJcseCYDsM4qI6XTtf2FJO29v+ZBwIxeQsnQ== YltFfI5qtXxyW+bwXioQe3dU8Y2wZkqflH+THPh7ixNR64JiAWvHo34zzrv3+0MTipHwsBEAl1Zce5MwESPDqg==
53 11 2024-03-28T12:25:53.840Z 2024-03-28T12:25:52.484Z 47db3a04b4069b301bd3677f84951bbb8d2ae83baad52f155f830293334d382f 1502c86d66f31011784d21323c9b78f143b9d2288791ba5daa772f2ab81aa954 00e44079813e189957cba7e64aaaffe80b2d08b08aa4cc886f828f0f50e42ea2 35c435804b4e88a04f9b1aa64aa1cff9094c618b932032942b28b53b3e1c1af5 35c435804b4e88a04f9b1aa64aa1cff9094c618b932032942b28b53b3e1c1af5 CRE NEG 1 02d25d2ebf2e32d23ad06503a4ac40a17d99c477e609c9136c70a7903c04278ba1 03115e5a20a40e3587687f9e9e2b17641d3c170061fcd19b98439d361b33155cbb C6VoS2m5lBIbKRChySd0ipdVQpP5WtRF6i0UirG7XoJMR3zRqYJykGN8//XeuRTQLpOkUbfF2RdRPBP6fMxn+g== 35c435804b4e88a04f9b1aa64aa1cff9094c618b932032942b28b53b3e1c1af5 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ehoMNjLtVkQM7ch61I4zwlvBi/6J52z+WlQDu2RH0hdfiaLKHD85x4eWXinDoNnllWIiQjMDQau2g9yI50OeHA== Lp42uSFCGio38dvLJXCxOmVx3QEb5JUNPg7X7Lpjo4WBypauTzkA9RpBfMpc9T3Mk0KgSlJoMafStpHbt1y+hw==
54 11 2024-03-28T12:26:00.543Z 2024-03-28T12:25:59.172Z a4d425fa451fd4e41a5f28a72261e99d7286d41fe2939762bcf0a9d278d6ed12 d9dc322a2f98a3f53a90e66a1b8a2837e63540a4e92e302a7b1c8bc15c4de70e 00e44079813e189957cba7e64aaaffe80b2d08b08aa4cc886f828f0f50e42ea2 259e85701303ca2589e76de0c09191090d9af0d1ecb90268a7f9ed9a63017dd5 259e85701303ca2589e76de0c09191090d9af0d1ecb90268a7f9ed9a63017dd5 CRE NEG 1 0301730b1b34ea9666f8291262074fe78fdd9f05b80bc37d82e04a9f7d13e97aa9 03cb8f2b1d7b241f5ed5ec53b0a8feecaca7bc4a65af1ccb14b8b3ce03bd897ce9 PuL7K3WzPM4jmHmOLHcdbgFXY3vpHmQcgNhx0ceKkYpRam6ITH7yUCsLG4mEWqVIyNAQfd8RL9610MJCHRfYbg== 259e85701303ca2589e76de0c09191090d9af0d1ecb90268a7f9ed9a63017dd5 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 Le8FzrI+FRYedjqNPCYD0s0fqpVwHnPBxzHhcC2nzLVFrDjB5zvJZ9FSh7ISID5ujs7R36ivdLFGUUgXXS5/IA== D6LrAAu5CmQ8nhVFDIeFpdF9ZBqlDOhxJ9bWZrzckR9D7UDvngV4e4S/M4HLA7HYWnkpl27h6q+fFLKHkB4t4Q==
55 11 2024-03-28T12:26:06.791Z 2024-03-28T12:26:05.399Z 5766a71ddd0109be1f2ed52c3d72446505d1d07930476cb4379223765cdc00f3 e214f15266369159e4f46c04ec6de1b336b50afd7166fc455e744a12423b6115 00e44079813e189957cba7e64aaaffe80b2d08b08aa4cc886f828f0f50e42ea2 a4cb669dde42e8a67623e9da5d62ab9fa10b73b09ffc2275ca71281cd6a9c74d a4cb669dde42e8a67623e9da5d62ab9fa10b73b09ffc2275ca71281cd6a9c74d CRE NEG 1 033813ad6a221a6f883020d566cc9a7a43b98a1ca93d3b07e6b7289eddb154fcd9 02088c41085272adcffecf39bb92c0c2cb5be0e981563dc44d8e3f538c43810aba YltrORelKHXD+FjxiR8IE1ScJMMd984x1233ySMy71su4jKhhJge7y5DnM7CsQsPk9UgEULknXvyfF2woeE7dg== a4cb669dde42e8a67623e9da5d62ab9fa10b73b09ffc2275ca71281cd6a9c74d 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 HzjwJtgh8CZy8kqb5f6SnCz+n7d9XSSICdzQCh1/e2qTy6dNezQy0TIAH7n9MzVnFGiK8MpEkuJ3Ece9IbY+nQ== IPV3v1Ey8lDvNKKroPhveV0UtWFedawWvTmy2yiV+GRMIlLCjgoQFly4yZv7TewAcrb9XMSjb775ilNHe7Dhbw==
